source_scope,category,speaker_id,speaker_gender,rms,peak,dynamic_range_db,silence_ratio,spectral_centroid_hz,duration_sec
paper_clean_audio_quality_sample,Kalimat_Deklaratif,M3,Male,0.09307901561260223,0.442779541015625,13.54671527323653,0.18362282878411912,949.8504934839655,4.0308
paper_clean_audio_quality_sample,Kalimat_Deklaratif,M8,Male,0.07178208231925964,0.404693603515625,15.022205738144514,0.3086053412462908,1038.8888225567568,3.3788
paper_clean_audio_quality_sample,Kalimat_Deklaratif,F5,Female,0.05668044835329056,0.33795166015625,15.508426130155275,0.1813186813186813,924.1863172300284,3.6458
paper_clean_audio_quality_sample,Kalimat_Deklaratif,M4,Male,0.2683597803115845,0.891265869140625,10.42579695556747,0.20833333333333334,1076.2706705303958,4.0868
paper_clean_audio_quality_sample,Kalimat_Deklaratif,M5,Male,0.12894941866397858,0.7005615234375,14.70053784414958,0.2646239554317549,876.3604129810245,3.5957
paper_clean_audio_quality_sample,Kalimat_Deklaratif,F1,Female,0.08608116209506989,0.449188232421875,14.350404969990883,0.2170212765957447,880.7393992438033,4.7027
paper_clean_audio_quality_sample,Kalimat_Deklaratif,M10,Male,0.06920342147350311,0.440185546875,16.070164225334175,0.25,1102.8713228693075,4.1627
paper_clean_audio_quality_sample,Kalimat_Deklaratif,M5,Male,0.1749567836523056,0.889984130859375,14.129029529305848,0.25301204819277107,1206.2373163029931,4.1558
paper_clean_audio_quality_sample,Kalimat_Deklaratif,M10,Male,0.10484562814235687,0.552154541015625,14.430206437365849,0.19505494505494506,765.280784074089,3.6467
paper_clean_audio_quality_sample,Kalimat_Deklaratif,M12,Male,0.08690033107995987,0.5849609375,16.56210868374853,0.18703241895261846,1034.0034420703078,4.0157
paper_clean_audio_quality_sample,Kalimat_Deklaratif,F5,Female,0.046286314725875854,0.342987060546875,17.39650262575931,0.2454308093994778,1107.0555455777721,3.8378
paper_clean_audio_quality_sample,Kalimat_Deklaratif,M1,Male,0.15545618534088135,0.74346923828125,13.593099940949855,0.189873417721519,715.3498015197854,3.9577
paper_clean_audio_quality_sample,Kalimat_Deklaratif,M3,Male,0.1113615408539772,0.584564208984375,14.401939790913335,0.20993227990970656,821.3019321478343,4.4328
paper_clean_audio_quality_sample,Kalimat_Deklaratif,M12,Male,0.05386470630764961,0.39862060546875,17.385108948424133,0.2735562310030395,1187.511383160796,3.2978
paper_clean_audio_quality_sample,Kalimat_Deklaratif,M11,Male,0.1390656679868698,0.735931396484375,14.472348095245849,0.22690763052208834,1026.7385804082676,4.9887
paper_clean_audio_quality_sample,Kalimat_Deklaratif,M6,Male,0.12726901471614838,0.891265869140625,16.905691866950207,0.22358722358722358,1155.680826306353,4.0788
paper_clean_audio_quality_sample,Kalimat_Deklaratif,M4,Male,0.15548095107078552,0.891204833984375,15.166006893682589,0.27988338192419826,1057.4118330175597,3.4358
paper_clean_audio_quality_sample,Kalimat_Deklaratif,F2,Female,0.108149453997612,0.850677490234375,17.9148121897922,0.31755196304849886,1143.0096109000622,8.6687
paper_clean_audio_quality_sample,Kalimat_Deklaratif,F7,Female,0.09152944386005402,0.7584228515625,18.367011718869747,0.24680851063829787,1172.179351216426,4.7017
paper_clean_audio_quality_sample,Kalimat_Deklaratif,M2,Male,0.10595079511404037,0.798583984375,17.54432750999011,0.3438914027149321,1148.219148261419,4.4227
paper_clean_audio_quality_sample,Kalimat_Deklaratif,M6,Male,0.10994205623865128,0.748260498046875,16.657779259969686,0.2519480519480519,1027.7721288016314,7.7008
paper_clean_audio_quality_sample,Kalimat_Deklaratif,M11,Male,0.09640113264322281,0.625274658203125,16.239773809211904,0.3069306930693069,1203.4278873933122,4.0427
paper_clean_audio_quality_sample,Kalimat_Deklaratif,F2,Female,0.1395929902791977,0.850494384765625,15.696156794846377,0.24175824175824176,1162.6529196286976,3.6408
paper_clean_audio_quality_sample,Kalimat_Deklaratif,F4,Female,0.12059454619884491,0.838134765625,16.83972375007072,0.23198198198198197,1057.786581989643,4.4478
paper_clean_audio_quality_sample,Kalimat_Deklaratif,F4,Female,0.07682296633720398,0.5040283203125,16.339277325402843,0.24033149171270718,1162.4811103446004,7.2488
paper_clean_audio_quality_sample,Kalimat_Deklaratif,M7,Male,0.07920116186141968,0.521728515625,16.37426042038578,0.2569444444444444,967.2708916562723,4.3258
paper_clean_audio_quality_sample,Kalimat_Deklaratif,F5,Female,0.05526575446128845,0.510650634765625,19.313355442647396,0.29283489096573206,1249.3752735141372,3.2107
paper_clean_audio_quality_sample,Kalimat_Klarifikasi,M3,Male,0.03036884218454361,0.199554443359375,16.352663325281938,0.0,1061.638007634474,7.045
paper_clean_audio_quality_sample,Kalimat_Klarifikasi,M8,Male,0.11066386103630066,1.0,19.11988362063806,0.3195364238410596,973.7065230170108,6.043
paper_clean_audio_quality_sample,Kalimat_Klarifikasi,F5,Female,0.05444419011473656,0.695770263671875,22.130286419680118,0.24653739612188366,1218.9806120208386,3.611
paper_clean_audio_quality_sample,Kalimat_Klarifikasi,M4,Male,0.14709097146987915,0.89849853515625,15.718627136281027,0.1326530612244898,1069.6312759825942,5.888
paper_clean_audio_quality_sample,Kalimat_Klarifikasi,M5,Male,0.11419954895973206,0.8807373046875,17.743640055701945,0.47297297297297297,1857.9735999165368,4.449
paper_clean_audio_quality_sample,Kalimat_Klarifikasi,F1,Female,0.053111497312784195,0.463623046875,18.81952941566649,0.3317972350230415,773.7026126764151,4.342
paper_clean_audio_quality_sample,Kalimat_Klarifikasi,M10,Male,0.06113094836473465,0.50018310546875,18.257357691229426,0.01639344262295082,1034.7461834108285,4.273
paper_clean_audio_quality_sample,Kalimat_Klarifikasi,M5,Male,0.13119561970233917,0.99053955078125,17.559049707304254,0.35067114093959734,739.2535321690098,5.967
paper_clean_audio_quality_sample,Kalimat_Klarifikasi,M10,Male,0.056898169219493866,0.589324951171875,20.30513071111837,0.0629575402635432,917.1627787606974,6.838
paper_clean_audio_quality_sample,Kalimat_Klarifikasi,M12,Male,0.040776289999485016,0.296783447265625,17.24063929389669,0.0,1212.5465808930408,5.272
paper_clean_audio_quality_sample,Kalimat_Klarifikasi,F5,Female,0.05584820359945297,0.469390869140625,18.4905085632684,0.029469548133595286,1008.0371565040962,5.093
paper_clean_audio_quality_sample,Kalimat_Klarifikasi,M1,Male,0.036134038120508194,0.221954345703125,15.766943060352643,0.3831967213114754,564.9702187731709,4.884
paper_clean_audio_quality_sample,Kalimat_Klarifikasi,M3,Male,0.03533764183521271,0.220428466796875,15.900602280727307,0.0,887.891944643543,4.824
paper_clean_audio_quality_sample,Kalimat_Klarifikasi,M12,Male,0.05959505960345268,0.44891357421875,17.539049571443254,0.016018306636155607,1013.4695469281925,4.377
paper_clean_audio_quality_sample,Kalimat_Klarifikasi,M11,Male,0.09897421300411224,0.57147216796875,15.229460530314803,0.04904051172707889,843.6705453147702,4.69
paper_clean_audio_quality_sample,Kalimat_Klarifikasi,M6,Male,0.03811191767454147,0.259368896484375,16.65714182911181,0.004081632653061225,1070.6687870195167,7.353
paper_clean_audio_quality_sample,Kalimat_Klarifikasi,M4,Male,0.19047394394874573,0.999969482421875,14.403023431522374,0.1969111969111969,935.1953078081401,5.185
paper_clean_audio_quality_sample,Kalimat_Klarifikasi,F2,Female,0.12217053025960922,0.999969482421875,18.26040573933724,0.23172905525846701,1125.427073239976,5.617
paper_clean_audio_quality_sample,Kalimat_Klarifikasi,F7,Female,0.09931250661611557,0.904022216796875,19.183503193778563,0.3162705667276051,1289.771424378163,5.476
paper_clean_audio_quality_sample,Kalimat_Klarifikasi,M2,Male,0.10531838983297348,0.642059326171875,15.70141895001804,0.42592592592592593,531.9253272556244,4.863
paper_clean_audio_quality_sample,Kalimat_Klarifikasi,M6,Male,0.13379956781864166,0.98675537109375,17.355095761217743,0.2620904836193448,1185.3585003260853,6.418
paper_clean_audio_quality_sample,Kalimat_Klarifikasi,M11,Male,0.05351023003458977,0.34326171875,16.143771078839443,0.004918032786885246,974.1116307024342,6.107
paper_clean_audio_quality_sample,Kalimat_Klarifikasi,F2,Female,0.15438419580459595,1.0,16.22794319693877,0.4058252427184466,911.5842138041115,5.152
paper_clean_audio_quality_sample,Kalimat_Klarifikasi,F4,Female,0.032262783497571945,0.234283447265625,17.220795410524474,0.10790273556231003,991.8326212320038,6.58
paper_clean_audio_quality_sample,Kalimat_Klarifikasi,F4,Female,0.03483591228723526,0.26165771484375,17.514127091807893,0.19293078055964655,981.0804237666484,6.799
paper_clean_audio_quality_sample,Kalimat_Klarifikasi,M7,Male,0.06647508591413498,0.516876220703125,17.814552892348257,0.011904761904761904,860.0318036904946,5.887
paper_clean_audio_quality_sample,Kalimat_Klarifikasi,F5,Female,0.03958958759903908,0.443878173828125,20.993656235096566,0.2189922480620155,1176.417718954229,5.167
paper_clean_audio_quality_sample,Kalimat_Kondisional,F7,Female,0.032728005200624466,0.193115234375,15.417939974025767,0.23768736616702354,991.7308747628217,4.676
paper_clean_audio_quality_sample,Kalimat_Kondisional,F7,Female,0.0645952969789505,0.456329345703125,16.981549968445286,0.25834542815674894,999.312888935625,6.895
paper_clean_audio_quality_sample,Kalimat_Kondisional,M10,Male,0.04820876196026802,0.432525634765625,19.057717453373797,0.028169014084507043,944.2209169745242,7.816
paper_clean_audio_quality_sample,Kalimat_Kondisional,F3,Female,0.09410946071147919,0.549957275390625,15.333913330386117,0.33723196881091616,940.3287040410564,5.1398
paper_clean_audio_quality_sample,Kalimat_Kondisional,M3,Male,0.034707020968198776,0.233856201171875,16.57063102347958,0.007155635062611807,1128.9446249360028,5.591
paper_clean_audio_quality_sample,Kalimat_Kondisional,F3,Female,0.07450158894062042,0.4910888671875,16.379891060948225,0.049008168028004666,928.4672217537138,8.571
paper_clean_audio_quality_sample,Kalimat_Kondisional,F8,Female,0.24583832919597626,1.0,12.187008083670392,0.23655913978494625,1043.7786677924707,7.449
paper_clean_audio_quality_sample,Kalimat_Kondisional,F8,Female,0.08623857796192169,0.53253173828125,15.812878185290511,0.2585034013605442,903.368012932341,5.889
paper_clean_audio_quality_sample,Kalimat_Kondisional,M10,Male,0.043508585542440414,0.2757568359375,16.03902643232751,0.0,811.8784462903599,6.747
paper_clean_audio_quality_sample,Kalimat_Kondisional,F6,Female,0.049131494015455246,0.39178466796875,18.0337492984304,0.010714285714285714,1206.8218161611244,5.608
paper_clean_audio_quality_sample,Kalimat_Kondisional,M9,Male,0.19007152318954468,0.891265869140625,13.421804406426753,0.19540229885057472,660.6251315403462,3.4857
paper_clean_audio_quality_sample,Kalimat_Kondisional,M3,Male,0.061741091310977936,0.40594482421875,16.357854124090434,0.015455950540958269,874.7065530292402,6.476
paper_clean_audio_quality_sample,Kalimat_Kondisional,F4,Female,0.013085037469863892,0.061004638671875,13.371757704618805,0.33867276887871856,642.1000690290625,4.378
paper_clean_audio_quality_sample,Kalimat_Kondisional,F1,Female,0.03973999246954918,0.42333984375,20.549227272030844,0.375,1393.3704527490788,4.807
paper_clean_audio_quality_sample,Kalimat_Kondisional,M11,Male,0.08247210085391998,0.553680419921875,16.53904214748931,0.3192660550458716,894.6893594207273,5.4527
paper_clean_audio_quality_sample,Kalimat_Kondisional,M1,Male,0.08796747028827667,0.43951416015625,13.97301536282924,0.3538767395626243,399.63467642587517,5.036
paper_clean_audio_quality_sample,Kalimat_Kondisional,F3,Female,0.08594565093517303,0.73077392578125,18.591182750204062,0.09927360774818401,938.0451632974232,8.265
paper_clean_audio_quality_sample,Kalimat_Kondisional,M1,Male,0.08860905468463898,0.5360107421875,15.633907792417638,0.37554585152838427,430.5071392952812,4.589
paper_clean_audio_quality_sample,Kalimat_Kondisional,M1,Male,0.03900887444615364,0.23687744140625,15.667205657597682,0.24763705103969755,777.7218206598541,5.295
paper_clean_audio_quality_sample,Kalimat_Kondisional,F8,Female,0.1853596568107605,1.0,14.639695661390256,0.3252032520325203,945.1667395147794,6.157
paper_clean_audio_quality_sample,Kalimat_Kondisional,F2,Female,0.09954356402158737,0.577178955078125,15.265946023072296,0.2809611829944547,633.8006489340587,5.411
paper_clean_audio_quality_sample,Kalimat_Kondisional,F8,Female,0.07824544608592987,0.677947998046875,18.754746224170834,0.3522267206477733,916.1542431292087,4.948
