split,n_files,total_duration_sec,total_duration_h,n_speakers,speakers,n_categories,n_synthetic,synthetic_pct,mean_duration_sec
train,71792,332957.68080000003,92.48824466666667,14,"['M1', 'M2', 'F1', 'F2', 'F3', 'F4', 'F5', 'M6', 'M7', 'F6', 'M9', 'F7', 'M11', 'F8']",11,122,0.16993536884332516,4.637810352128371
dev,15376,71068.3783,19.741216194444444,3,"['M3', 'M5', 'M10']",11,8,0.05202913631633715,4.622032927939646
test,15376,66331.32930000001,18.425369250000003,3,"['M4', 'M8', 'M12']",11,2,0.013007284079084287,4.313952217741936
