category,n_files,total_duration_sec,mean_duration_sec,median_duration_sec,std_duration_sec,n_unique_sentences,mean_chars,median_chars,mean_words,median_words,n_speakers
Declarative,9500,38513.0637,4.054006705263157,3.8798,0.8856801007506361,19,60.526315789473685,58.0,8.052631578947368,8.0,20
Clarification,9500,49711.923299999995,5.232834031578947,5.125500000000001,0.9041878537655236,19,65.52631578947368,62.0,9.68421052631579,9.0,20
Conditional,9010,53701.3684,5.9601962708102105,5.842,1.1156097157207308,19,79.45061043285239,80.0,11.110987791342952,11.0,20
Confirmation,9017,50319.26670000001,5.580488710214041,5.48,0.959661645416513,19,72.00377065542864,73.0,10.223688588222247,10.0,20
Negation,9500,33954.5354,3.5741616210526317,3.5502000000000002,0.8593620537748062,19,53.473684210526315,56.0,7.157894736842105,7.0,20
Scheduling,9500,47204.038,4.968846105263158,4.776,2.2449501506416047,19,57.89473684210526,53.0,8.263157894736842,8.0,20
Imperative,9500,28122.6942,2.9602836000000003,2.6547,1.2976205358359385,19,38.421052631578945,34.0,6.052631578947368,6.0,20
Persuasive,9011,57913.90520000001,6.427023105093776,6.2278,1.270995542164029,19,107.13594495616469,103.0,15.439018976806127,15.0,20
Rhetorical,9500,37489.4433,3.946257189473684,3.9188,1.0199545724924743,19,63.578947368421055,69.0,8.631578947368421,9.0,20
Exclamatory,9500,32552.1659,3.4265437789473685,3.3287,0.7695445853374755,19,45.73684210526316,47.0,6.421052631578948,6.0,20
Interrogative,9006,40874.984300000004,4.5386391627803695,4.394,1.631574064301124,19,46.40062180768377,46.0,6.834776815456363,7.0,20
