rank,model_id,family,is_user_novel,wer,cer,mer,wil,ser,training_time_sec,training_time_hhmmss,training_time_hours,training_eval_time_sec,training_eval_time_hhmmss,inference_time_sec,inference_time_hhmmss,throughput_samples_per_sec,peak_gpu_mb,n_params,params_millions,n_templates,param_count_note,training_hardware,training_os,training_gpu,training_vram_gb,test_platform,test_gpu,best_train_wer,best_train_epoch,n_epochs_trained,n_test_samples,decoding_method,checkpoint,best_artifact,best_artifact_exists,test_json,predictions_csv,training_time_source,param_count_source,provenance_source
1,m02b-whisper-small-ft,Whisper-small FT (Radford et al. 2023; arXiv 2022),False,0.008523540683204734,0.0018570295438410948,0.008521288542133038,0.012964770865290798,0.03895681581685739,17309,04:48:29,4.808056,,,4363.1,01:12:43,3.52,549.2,241734912,241.734912,,Total fine-tuned Whisper-small model parameters from run report. The original Whisper paper lists small as approximately 244M parameters; this run reports the exact HF model count used here.,"Google Colab Linux, NVIDIA A100-SXM4-40GB GPU",Linux-6.6.122+-x86_64-with-glibc2.35,NVIDIA A100-SXM4-40GB,40,Linux-6.6.122+-x86_64-with-glibc2.35,NVIDIA A100-SXM4-40GB,0.0014584453561774,5,5,15376,greedy_ar,training/m02b_whisper_small_ft/runs/run_paper_20260604_005100_colab_a100_paper_exact/best_model,training/m02b_whisper_small_ft/runs/run_paper_20260604_005100_colab_a100_paper_exact/best_model,True,/mnt/c/Users/wayandadang/AI/Dataset ASR/Paper_Datatset_SOTA/training/m02b_whisper_small_ft/runs/run_paper_20260604_005100_colab_a100_paper_exact/test_results/test_paper.json,training/m02b_whisper_small_ft/runs/run_paper_20260604_005100_colab_a100_paper_exact/test_results/predictions.csv,training/m02b_whisper_small_ft/runs/run_paper_20260604_005100_colab_a100_paper_exact/report.md:24,training/m02b_whisper_small_ft/runs/run_paper_20260604_005100_colab_a100_paper_exact/report.md:20,report.md + meta.json/training_meta.environment + Colab audit report
2,m06-conformer-ctc,Conformer-CTC (Gulati 2020),False,0.011941638277990744,0.004322092427426721,0.011934174534545134,0.020544206605723203,0.059833506763787736,23509,06:31:49,6.530278,,,52.45,00:00:52,293.14,954.6,11048219,11.048219,,Total Conformer-CTC model parameters.,"Local Linux laptop, NVIDIA GeForce RTX 4060 Laptop GPU, 8 GB VRAM",Linux-6.17.0-35-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 4060 Laptop GPU,8,Linux-6.17.0-35-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 4060 Laptop GPU,0.008417273068405059,29,30,15376,greedy_ctc,training/m06_conformer_ctc/runs/run_paper_20260601_213050_linux/checkpoints/best.pt,training/m06_conformer_ctc/runs/run_paper_20260601_213050_linux/checkpoints/best.pt,True,/mnt/c/Users/wayandadang/AI/Dataset ASR/Paper_Datatset_SOTA/training/m06_conformer_ctc/runs/run_paper_20260601_213050_linux/test_results/test_paper.json,training/m06_conformer_ctc/runs/run_paper_20260601_213050_linux/test_results/predictions.csv,training/m06_conformer_ctc/runs/run_paper_20260601_213050_linux/report.md:17,training/m06_conformer_ctc/runs/run_paper_20260601_213050_linux/report.md:14,report.md + meta.json/training_meta.environment; VRAM label supplied by project run notes/user provenance
3,m12-vit-modified-ID,ViT-modified-ID (proposed in this work),True,0.01776655336206327,0.013009616165317267,0.017738294191808134,0.03147379187312416,0.018405306971904234,13498,03:44:58,3.749444,,,1304.3,00:21:44,11.79,0.0,4353248,4.353248,,Total model parameters from torchinfo/log summary.,Training log records `Using device: cuda`; exact training OS/GPU model not recorded. Full-test evaluation metadata records WSL2 Linux + RTX 4060 Laptop GPU.,not recorded in source training log,CUDA device used; exact GPU model not recorded in source training log,,Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,NVIDIA GeForce RTX 4060 Laptop GPU,,,30,15376,greedy_ar_with_ctc_aux,/mnt/c/Users/wayandadang/AI/Dataset ASR/Paper_Datatset_SOTA/training_conventional/m12_vit_modified/runs/run_full_20260528_223323/checkpoints/best.pth,training_conventional/m12_vit_modified/runs/run_full_20260528_223323/checkpoints/best.pth,True,/mnt/c/Users/wayandadang/AI/Dataset ASR/Paper_Datatset_SOTA/training_conventional/m12_vit_modified/runs/run_full_20260528_223323/test_results/test_paper.json,/mnt/c/Users/wayandadang/AI/Dataset ASR/Paper_Datatset_SOTA/training_conventional/m12_vit_modified/runs/run_full_20260528_223323/test_results/predictions.csv,training_conventional/m12_vit_modified/runs/run_full_20260528_223323/Log_Run.txt:698,training_conventional/m12_vit_modified/runs/run_full_20260528_223323/Log_Run.txt:58,Log_Run.txt:10 plus test_results/test_paper.json test_environment
4,m07-bilstm-ctc,Bi-LSTM CTC,False,0.04012184444231887,0.013216648861286718,0.04002642492751496,0.0721196371666768,0.1515998959417274,25583,07:06:23,7.106389,,,70.43,00:01:10,218.32,582.8,32825659,32.825659,,Total Bi-LSTM CTC model parameters.,"Local Linux laptop, NVIDIA GeForce RTX 4060 Laptop GPU, 8 GB VRAM",Linux-6.17.0-35-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 4060 Laptop GPU,8,Linux-6.17.0-35-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 4060 Laptop GPU,0.02406722046044838,30,30,15376,greedy_ctc,training/m07_bilstm_ctc/runs/run_paper_20260602_133815_linux/checkpoints/best.pt,training/m07_bilstm_ctc/runs/run_paper_20260602_133815_linux/checkpoints/best.pt,True,/mnt/c/Users/wayandadang/AI/Dataset ASR/Paper_Datatset_SOTA/training/m07_bilstm_ctc/runs/run_paper_20260602_133815_linux/test_results/test_paper.json,training/m07_bilstm_ctc/runs/run_paper_20260602_133815_linux/test_results/predictions.csv,training/m07_bilstm_ctc/runs/run_paper_20260602_133815_linux/report.md:17,training/m07_bilstm_ctc/runs/run_paper_20260602_133815_linux/report.md:14,report.md + meta.json/training_meta.environment; VRAM label supplied by project run notes/user provenance
5,m11-vanilla-transformer,Vanilla Transformer (Vaswani 2017),False,0.043931841040738266,0.0326697714313076,0.0438153954295505,0.07737001613818639,0.04539542143600417,9533,02:38:53,2.648056,,,1293.28,00:21:33,11.89,0.0,4212688,4.212688,,Total model parameters from torchinfo/log summary.,Training log records `Using device: cuda`; exact training OS/GPU model not recorded. Full-test evaluation metadata records WSL2 Linux + RTX 4060 Laptop GPU.,not recorded in source training log,CUDA device used; exact GPU model not recorded in source training log,,Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,NVIDIA GeForce RTX 4060 Laptop GPU,,,30,15376,greedy_ar,/mnt/c/Users/wayandadang/AI/Dataset ASR/Paper_Datatset_SOTA/training_conventional/m11_vanilla_transformer/runs/run_full_20260529_042328/checkpoints/best.pth,training_conventional/m11_vanilla_transformer/runs/run_full_20260529_042328/checkpoints/best.pth,True,/mnt/c/Users/wayandadang/AI/Dataset ASR/Paper_Datatset_SOTA/training_conventional/m11_vanilla_transformer/runs/run_full_20260529_042328/test_results/test_paper.json,/mnt/c/Users/wayandadang/AI/Dataset ASR/Paper_Datatset_SOTA/training_conventional/m11_vanilla_transformer/runs/run_full_20260529_042328/test_results/predictions.csv,training_conventional/m11_vanilla_transformer/runs/run_full_20260529_042328/Log_Run.txt:676,training_conventional/m11_vanilla_transformer/runs/run_full_20260529_042328/Log_Run.txt:59,Log_Run.txt:10 plus test_results/test_paper.json test_environment
6,m13-wav2letter,Wav2Letter-style CNN-CTC (Collobert 2016),False,0.09292935225495738,0.05196455821641889,0.09199127906976744,0.15240911592265793,0.28219302809573366,15023,04:10:23,4.173056,,,22.87,00:00:23,672.19,194.1,24840900,24.8409,,Total CNN-CTC model parameters.,"WSL2 Linux, NVIDIA GeForce RTX 4060 Laptop GPU; VRAM not recorded in run metadata",Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,NVIDIA GeForce RTX 4060 Laptop GPU,,Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,NVIDIA GeForce RTX 4060 Laptop GPU,0.07194719956538018,27,30,15376,greedy_ctc,/mnt/c/Users/wayandadang/AI/Dataset ASR/Paper_Datatset_SOTA/training_conventional/m13_wav2letter_cnn/runs/run_paper_20260531_230637/checkpoints/best.pt,training_conventional/m13_wav2letter_cnn/runs/run_paper_20260531_230637/checkpoints/best.pt,True,/mnt/c/Users/wayandadang/AI/Dataset ASR/Paper_Datatset_SOTA/training_conventional/m13_wav2letter_cnn/runs/run_paper_20260531_230637/test_results/test_paper.json,/mnt/c/Users/wayandadang/AI/Dataset ASR/Paper_Datatset_SOTA/training_conventional/m13_wav2letter_cnn/runs/run_paper_20260531_230637/test_results/predictions.csv,training_conventional/m13_wav2letter_cnn/runs/run_paper_20260531_230637/report.md:17,training_conventional/m13_wav2letter_cnn/runs/run_paper_20260531_230637/report.md:13,training_meta.environment in test_paper.json/meta.json
7,m08-hmm-gmm,HMM-GMM (classical),False,0.9633216113236083,0.7204618840522383,0.8789151461565254,0.9821909522410768,0.9191597294484911,11831,03:17:11,3.286389,3485,00:58:05,3277.3,00:54:37,4.69,0.0,511005,0.511005,209,"Classical HMM-GMM numeric parameter count computed from the selected best.pkl template bank: 209 templates x (5 start probabilities + 25 transitions + 5x3x80 means + 5x3x80 diagonal covariances + 5x3 mixture weights) = 511,005. This is not a neural trainable-parameter count.","WSL2 Linux, NVIDIA GeForce RTX 4060 Laptop GPU; VRAM not recorded in run metadata",Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,NVIDIA GeForce RTX 4060 Laptop GPU,,Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,NVIDIA GeForce RTX 4060 Laptop GPU,1.0236177694899824,1,1,15376,viterbi_template_argmax,training_conventional/m08_hmm_gmm/runs/run_paper_20260530/checkpoints/best.pkl,training_conventional/m08_hmm_gmm/runs/run_paper_20260530/checkpoints/best.pkl,True,/mnt/c/Users/wayandadang/AI/Dataset ASR/Paper_Datatset_SOTA/training_conventional/m08_hmm_gmm/runs/run_paper_20260530/test_results/test_paper.json,training_conventional/m08_hmm_gmm/runs/run_paper_20260530/test_results/predictions.csv,training_conventional/m08_hmm_gmm/runs/run_paper_20260530/report.md:16-17,training_conventional/m08_hmm_gmm/runs/run_paper_20260530/checkpoints/best.pkl arrays; report.md:19 records 209 templates,training_meta.environment in test_paper.json/meta.json
8,m10-gmm-hmm-dnn,GMM-HMM-DNN (3-stage),False,0.9703327925057448,0.8515677534730824,0.9690380004838958,0.9964568296561289,1.0,23350,06:29:10,6.486111,3244,00:54:04,18.86,00:00:19,815.12,0.0,1448336,1.448336,209,Stage-3 DNN parameters; Stage-1 trained 209 GMM-HMM templates.,"WSL2 Linux, NVIDIA GeForce RTX 4060 Laptop GPU; VRAM not recorded in run metadata",Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,NVIDIA GeForce RTX 4060 Laptop GPU,,Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,NVIDIA GeForce RTX 4060 Laptop GPU,0.9783497661716014,15,30,15376,ctc_greedy_collapse,/mnt/c/Users/wayandadang/AI/Dataset ASR/Paper_Datatset_SOTA/training_conventional/m10_gmm_hmm_dnn/runs/run_paper_20260531_071736/checkpoints/best.pkl,training_conventional/m10_gmm_hmm_dnn/runs/run_paper_20260531_071736/checkpoints/best.pkl,True,/mnt/c/Users/wayandadang/AI/Dataset ASR/Paper_Datatset_SOTA/training_conventional/m10_gmm_hmm_dnn/runs/run_paper_20260531_071736/test_results/test_paper.json,/mnt/c/Users/wayandadang/AI/Dataset ASR/Paper_Datatset_SOTA/training_conventional/m10_gmm_hmm_dnn/runs/run_paper_20260531_071736/test_results/predictions.csv,training_conventional/m10_gmm_hmm_dnn/runs/run_paper_20260531_071736/report.md:16-17,training_conventional/m10_gmm_hmm_dnn/runs/run_paper_20260531_071736/report.md:18-19,training_meta.environment in test_paper.json/meta.json
9,m09-dnn-hmm,DNN-HMM (hybrid),False,0.9708026517682126,0.8437097287945755,0.9693153496554757,0.996654886450662,1.0,11531,03:12:11,3.203056,0,00:00:00,19.75,00:00:20,778.66,0.0,1448336,1.448336,,DNN acoustic model parameters.,"WSL2 Linux, NVIDIA GeForce RTX 4060 Laptop GPU; VRAM not recorded in run metadata",Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,NVIDIA GeForce RTX 4060 Laptop GPU,,Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,NVIDIA GeForce RTX 4060 Laptop GPU,0.9717056625382678,12,30,15376,ctc_greedy_collapse,training_conventional/m09_dnn_hmm/runs/run_paper_20260530_133634/checkpoints/best.pkl,training_conventional/m09_dnn_hmm/runs/run_paper_20260530_133634/checkpoints/best.pkl,True,/mnt/c/Users/wayandadang/AI/Dataset ASR/Paper_Datatset_SOTA/training_conventional/m09_dnn_hmm/runs/run_paper_20260530_133634/test_results/test_paper.json,training_conventional/m09_dnn_hmm/runs/run_paper_20260530_133634/test_results/predictions.csv,training_conventional/m09_dnn_hmm/runs/run_paper_20260530_133634/report.md:16-17,training_conventional/m09_dnn_hmm/runs/run_paper_20260530_133634/report.md:18,training_meta.environment in test_paper.json/meta.json
